title,author,isbn,published_date,total_copies,copies_available,description,categories
The Great Gatsby,F. Scott Fitzgerald,9780141182636,1925-04-10,5,3,A novel set in the Jazz Age exploring wealth and society.,"Classic, Fiction"
To Kill a Mockingbird,Harper Lee,9780061120084,1960-07-11,4,2,A story of racial injustice in the Deep South.,"Classic, Drama"
1984,George Orwell,9780451524935,1949-06-08,6,4,Dystopian novel about totalitarian regime.,"Dystopian, Fiction"
Pride and Prejudice,Jane Austen,9780141439518,###############################################################################################################################################################################################################################################################,3,1,Romantic novel about manners and marriage.,"Romance, Classic"
The Hobbit,J.R.R. Tolkien,9780547928227,1937-09-21,7,5,Fantasy adventure preceding Lord of the Rings.,"Fantasy, Adventure"
Moby Dick,Herman Melville,9780142437247,###############################################################################################################################################################################################################################################################,2,2,A quest to hunt the white whale.,"Classic, Adventure"
The Catcher in the Rye,J.D. Salinger,9780316769488,1951-07-16,5,4,Teenage alienation and rebellion.,"Classic, Fiction"
The Alchemist,Paulo Coelho,9780061122415,1988-04-15,8,6,A journey of self-discovery.,"Fiction, Inspirational"
Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780439708180,1997-06-26,10,7,A young wizard begins his journey.,"Fantasy, Young Adult"
The Da Vinci Code,Dan Brown,9780307474278,2003-03-18,6,3,Mystery thriller involving secret societies.,"Thriller, Mystery"
The Hunger Games,Suzanne Collins,9780439023528,2008-09-14,9,5,A dystopian survival competition.,"Dystopian, Young Adult"
The Book Thief,Markus Zusak,9780375842207,2005-03-14,4,2,A story narrated by Death during WWII.,"Historical, Fiction"
The Chronicles of Narnia,C.S. Lewis,9780066238500,1950-10-16,5,3,Fantasy adventures in Narnia.,"Fantasy, Children"
The Shining,Stephen King,9780307743657,1977-01-28,3,1,Psychological horror in an isolated hotel.,"Horror, Thriller"
The Fault in Our Stars,John Green,9780142424179,2012-01-10,6,4,A love story between two teenagers with cancer.,"Romance, Young Adult"
Brave New World,Aldous Huxley,9780060850524,1932-08-30,4,3,A futuristic dystopian society.,"Dystopian, Classic"
The Lord of the Rings,J.R.R. Tolkien,9780618640157,1954-07-29,8,6,Epic fantasy trilogy.,"Fantasy, Adventure"
The Kite Runner,Khaled Hosseini,9781594631931,2003-05-29,5,2,Friendship and redemption in Afghanistan.,"Drama, Historical"
The Girl with the Dragon Tattoo,Stieg Larsson,9780307454546,2005-08-27,4,2,A mystery thriller investigation.,"Crime, Thriller"
The Giver,Lois Lowry,9780544336261,1993-04-26,3,3,A controlled utopian society.,"Dystopian, Young Adult"
